
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 6.13276958e-002, 1.33952573e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 5.92692122e-002, 1.26754060e-001, 1.88019760e-002, 4.27999449e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 6.15359247e-002, 1.19555578e-001, 3.76039483e-002, 8.55998802e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 6.76947534e-002, 1.12357087e-001, 5.64059205e-002, 1.28399820e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 7.59457052e-002, 1.04453422e-001, 6.40963614e-002, 1.34612198e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 8.61051232e-002, 9.64047462e-002, 7.15062246e-002, 1.33301859e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 9.77025330e-002, 8.83560926e-002, 8.05314332e-002, 1.31991549e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 1.07744507e-001, 8.47671255e-002, 8.85015354e-002, 1.29799700e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 1.16833590e-001, 8.34867433e-002, 9.57490206e-002, 1.27151537e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 1.26138091e-001, 8.22063535e-002, 1.03238806e-001, 1.24503403e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 1.34267777e-001, 8.12796503e-002, 1.09982669e-001, 1.23943558e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 1.41193464e-001, 8.07234794e-002, 1.15969643e-001, 1.25571327e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 1.48317277e-001, 8.01672786e-002, 1.22172251e-001, 1.27199059e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 1.54367775e-001, 7.96764866e-002, 1.27527252e-001, 1.28741341e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 1.58007681e-001, 7.93259740e-002, 1.30944550e-001, 1.30099640e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 1.61944285e-001, 7.89754689e-002, 1.34676546e-001, 1.31457968e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 1.65633947e-001, 7.85801336e-002, 1.38274834e-001, 1.32685814e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 1.66657418e-001, 7.79252648e-002, 1.39794976e-001, 1.33158512e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 1.68104783e-001, 7.72704110e-002, 1.41745448e-001, 1.33631210e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 1.69965163e-001, 7.66155496e-002, 1.44108713e-001, 1.34103861e+001, 2.76884455e-002
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 1.69837162e-001, 7.55146891e-002, 1.44958436e-001, 1.33485384e+001, 2.91457325e-002
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 1.70263410e-001, 7.44032040e-002, 1.46350995e-001, 1.32841101e+001, 3.06030195e-002
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 1.71298608e-001, 7.32917339e-002, 1.48317322e-001, 1.32196693e+001, 3.20603065e-002
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 1.71576142e-001, 7.17989281e-002, 1.49743900e-001, 1.31456337e+001, 3.35175917e-002
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.72349051e-001, 7.02144802e-002, 1.51642010e-001, 1.30693035e+001, 3.49748768e-002
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 1.73956558e-001, 6.86300248e-002, 1.54267833e-001, 1.29929657e+001, 3.64321619e-002
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 1.75609142e-001, 6.67466447e-002, 1.56822786e-001, 1.29260979e+001, 3.78894471e-002
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 1.77799866e-001, 6.46919087e-002, 1.59740940e-001, 1.28646555e+001, 3.93467322e-002
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 1.80974230e-001, 6.26371875e-002, 1.63447589e-001, 1.28032131e+001, 4.08040173e-002
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 1.84262544e-001, 6.05607182e-002, 1.67026535e-001, 1.27443352e+001, 4.22613025e-002
1.09999999e-001, 4.37185876e-002, 0.00000000e+000, 1.87620595e-001, 5.84592372e-002, 1.70404106e-001, 1.26884384e+001, 4.37185876e-002
1.09999999e-001, 4.51758727e-002, 0.00000000e+000, 1.91981137e-001, 5.63577712e-002, 1.74562559e-001, 1.26325464e+001, 4.51758727e-002
1.09999999e-001, 4.66331579e-002, 0.00000000e+000, 1.96307182e-001, 5.43606319e-002, 1.78517312e-001, 1.25647469e+001, 4.66331579e-002
1.09999999e-001, 4.80904430e-002, 0.00000000e+000, 1.99262723e-001, 5.26133850e-002, 1.80999056e-001, 1.24683781e+001, 4.80904430e-002
1.09999999e-001, 4.95477282e-002, 0.00000000e+000, 2.03170180e-001, 5.08661270e-002, 1.84244812e-001, 1.23720093e+001, 4.95477282e-002
1.09999999e-001, 5.10050133e-002, 0.00000000e+000, 2.07500339e-001, 4.91756983e-002, 1.87761486e-001, 1.22685251e+001, 5.10050133e-002
1.09999999e-001, 5.24622984e-002, 0.00000000e+000, 2.09338456e-001, 4.78866324e-002, 1.88793585e-001, 1.21147861e+001, 5.24622984e-002
1.09999999e-001, 5.39195836e-002, 0.00000000e+000, 2.12030813e-001, 4.65975739e-002, 1.90552652e-001, 1.19610462e+001, 5.39195836e-002
1.09999999e-001, 5.53768687e-002, 0.00000000e+000, 2.15545490e-001, 4.53085080e-002, 1.93018854e-001, 1.18073101e+001, 5.53768687e-002
1.09999999e-001, 5.68341538e-002, 0.00000000e+000, 2.16195986e-001, 4.44912501e-002, 1.92762285e-001, 1.16840830e+001, 5.68341538e-002
1.09999999e-001, 5.82914390e-002, 0.00000000e+000, 2.17376232e-001, 4.36970107e-002, 1.92985311e-001, 1.15623465e+001, 5.82914390e-002
1.09999999e-001, 5.97487241e-002, 0.00000000e+000, 2.19251379e-001, 4.29027677e-002, 1.93851128e-001, 1.14406118e+001, 5.97487241e-002
1.09999999e-001, 6.12060092e-002, 0.00000000e+000, 2.19283834e-001, 4.23274152e-002, 1.93144307e-001, 1.13777905e+001, 6.12060092e-002
1.09999999e-001, 6.26632944e-002, 0.00000000e+000, 2.19151944e-001, 4.18127328e-002, 1.92341134e-001, 1.13313046e+001, 6.26632944e-002
1.09999999e-001, 6.41205832e-002, 0.00000000e+000, 2.19538644e-001, 4.12980542e-002, 1.92045182e-001, 1.12848167e+001, 6.41205832e-002
1.09999999e-001, 6.55778721e-002, 0.00000000e+000, 2.19303250e-001, 4.08499055e-002, 1.91333190e-001, 1.12920313e+001, 6.55778721e-002
1.09999999e-001, 6.70351610e-002, 0.00000000e+000, 2.18697801e-001, 4.04438525e-002, 1.90384567e-001, 1.13332329e+001, 6.70351610e-002
1.09999999e-001, 6.84924498e-002, 0.00000000e+000, 2.18405515e-001, 4.00378071e-002, 1.89750716e-001, 1.13744354e+001, 6.84924498e-002
1.09999999e-001, 6.99497387e-002, 0.00000000e+000, 2.17908025e-001, 3.96443829e-002, 1.89023912e-001, 1.14453545e+001, 6.99497387e-002
1.09999999e-001, 7.14070275e-002, 0.00000000e+000, 2.16956154e-001, 3.92669067e-002, 1.87982962e-001, 1.15538158e+001, 7.14070275e-002
1.09999999e-001, 7.28643164e-002, 0.00000000e+000, 2.16164395e-001, 3.88894267e-002, 1.87104523e-001, 1.16622791e+001, 7.28643164e-002
1.09999999e-001, 7.43216053e-002, 0.00000000e+000, 2.15269610e-001, 3.85227017e-002, 1.86178431e-001, 1.17759180e+001, 7.43216053e-002
1.09999999e-001, 7.57788941e-002, 0.00000000e+000, 2.13772893e-001, 3.81848365e-002, 1.84792757e-001, 1.19034615e+001, 7.57788941e-002
