
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 5.44317327e-002, 1.17028251e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 5.38340285e-002, 1.11058496e-001, 1.77489035e-002, 4.28718138e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 5.75074665e-002, 1.05088748e-001, 3.54978032e-002, 8.57436180e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 6.47289306e-002, 9.91189852e-002, 5.32467030e-002, 1.28615427e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 7.33186454e-002, 9.26581845e-002, 6.10884391e-002, 1.34200649e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 8.33110735e-002, 8.60964060e-002, 6.85177818e-002, 1.32119465e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 9.44178253e-002, 7.95346498e-002, 7.72364065e-002, 1.30038271e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 1.03820682e-001, 7.66682550e-002, 8.47217515e-002, 1.26721716e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 1.12257056e-001, 7.57147521e-002, 9.14631486e-002, 1.22765665e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 1.20891504e-001, 7.47612640e-002, 9.84324068e-002, 1.18809633e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 1.28623843e-001, 7.40436688e-002, 1.04875080e-001, 1.17172909e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 1.35452822e-001, 7.35731795e-002, 1.10803105e-001, 1.17965832e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 1.42484650e-001, 7.31026977e-002, 1.16950192e-001, 1.18758726e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 1.48564115e-001, 7.26882964e-002, 1.22356847e-001, 1.19517756e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 1.52504072e-001, 7.23942071e-002, 1.26067340e-001, 1.20203505e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 1.56763956e-001, 7.21001327e-002, 1.30111426e-001, 1.20889330e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 1.60809830e-001, 7.17731193e-002, 1.34050146e-001, 1.21484928e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 1.62304327e-001, 7.12553933e-002, 1.36020988e-001, 1.21558475e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 1.64265901e-001, 7.07376897e-002, 1.38458475e-001, 1.21632032e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 1.66678056e-001, 7.02199712e-002, 1.41338408e-001, 1.21705542e+001, 2.76884455e-002
