
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 5.26104756e-002, 1.19020611e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 5.27672023e-002, 1.12913042e-001, 1.78742409e-002, 4.51842451e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 5.71687967e-002, 1.06805474e-001, 3.57484818e-002, 9.03684902e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 6.49579912e-002, 1.00697897e-001, 5.36227189e-002, 1.35552731e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 7.49674737e-002, 9.40280184e-002, 6.27665222e-002, 1.41842041e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 8.65949020e-002, 8.72425213e-002, 7.17504025e-002, 1.40134277e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 9.92988124e-002, 8.04570466e-002, 8.19646567e-002, 1.38426485e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 1.09719507e-001, 7.74101689e-002, 9.03922543e-002, 1.34183445e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 1.18909888e-001, 7.62986243e-002, 9.78358611e-002, 1.28628054e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 1.28314599e-001, 7.51870573e-002, 1.05525285e-001, 1.23072653e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 1.36366487e-001, 7.43204430e-002, 1.12309083e-001, 1.20328617e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 1.43088698e-001, 7.37104192e-002, 1.18224591e-001, 1.20529690e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 1.50081992e-001, 7.31004030e-002, 1.24425426e-001, 1.20730724e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 1.56079039e-001, 7.25442693e-002, 1.29876629e-001, 1.20781469e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 1.59776673e-001, 7.21037611e-002, 1.33543685e-001, 1.20509033e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 1.63861498e-001, 7.16632605e-002, 1.37601003e-001, 1.20236692e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 1.67803481e-001, 7.11905286e-002, 1.41611323e-001, 1.19864511e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 1.69302657e-001, 7.05311969e-002, 1.43734783e-001, 1.18914814e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 1.71342745e-001, 6.98718578e-002, 1.46375820e-001, 1.17965136e+001, 2.62311585e-002
