
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 5.23767062e-002, 1.15844697e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 5.34944423e-002, 1.10201791e-001, 1.84411835e-002, 4.38091850e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 5.87645583e-002, 1.04558893e-001, 3.68823633e-002, 8.76183701e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 6.72173575e-002, 9.89159867e-002, 5.53235412e-002, 1.31427536e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 7.78151900e-002, 9.27922502e-002, 6.50345460e-002, 1.37475605e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 8.99036005e-002, 8.65696371e-002, 7.44497553e-002, 1.35759697e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 1.02967940e-001, 8.03470314e-002, 8.49879384e-002, 1.34043789e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 1.13519035e-001, 7.76118189e-002, 9.35501084e-002, 1.30506268e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 1.22749172e-001, 7.66818598e-002, 1.01063795e-001, 1.26025791e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 1.32198811e-001, 7.57519007e-002, 1.08831033e-001, 1.21545324e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 1.40161559e-001, 7.50355273e-002, 1.15561642e-001, 1.19526596e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 1.46643832e-001, 7.45429024e-002, 1.21277325e-001, 1.20086699e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 1.53391629e-001, 7.40502551e-002, 1.27276137e-001, 1.20646782e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 1.59100085e-001, 7.35917240e-002, 1.32487312e-001, 1.21025944e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 1.62412018e-001, 7.32063204e-002, 1.35824457e-001, 1.21016254e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 1.66098401e-001, 7.28209317e-002, 1.39542714e-001, 1.21006622e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 1.69640347e-001, 7.23992214e-002, 1.43213004e-001, 1.20879469e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 1.70767277e-001, 7.17673078e-002, 1.45012006e-001, 1.20072212e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 1.72417983e-001, 7.11353794e-002, 1.47317082e-001, 1.19264956e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 1.74577564e-001, 7.05034584e-002, 1.50104836e-001, 1.18457680e+001, 2.76884455e-002
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 1.74890518e-001, 6.95608854e-002, 1.51428744e-001, 1.17186079e+001, 2.91457325e-002
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 1.75850496e-001, 6.86109364e-002, 1.53345674e-001, 1.15903559e+001, 3.06030195e-002
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 1.77504197e-001, 6.76609799e-002, 1.55879736e-001, 1.14620943e+001, 3.20603065e-002
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 1.78336769e-001, 6.63952008e-002, 1.57657385e-001, 1.13394299e+001, 3.35175917e-002
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.79644957e-001, 6.50535226e-002, 1.59815341e-001, 1.12181234e+001, 3.49748768e-002
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 1.81788594e-001, 6.37118444e-002, 1.62663132e-001, 1.10968094e+001, 3.64321619e-002
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 1.83920011e-001, 6.23130202e-002, 1.65289149e-001, 1.09901075e+001, 3.78894471e-002
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 1.86463743e-001, 6.08814470e-002, 1.68114841e-001, 1.08917789e+001, 3.93467322e-002
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 1.89876452e-001, 5.94498701e-002, 1.71625212e-001, 1.07934523e+001, 4.08040173e-002
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 1.93192571e-001, 5.80944158e-002, 1.74827099e-001, 1.06970062e+001, 4.22613025e-002
1.09999999e-001, 4.37185876e-002, 0.00000000e+000, 1.96302608e-001, 5.68264872e-002, 1.77608371e-001, 1.06027470e+001, 4.37185876e-002
