
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 1.48419350e-001, 2.14381248e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.52538896e-001, 2.08115250e-001, 4.64156196e-002, 9.89479256e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 1.56849653e-001, 2.01849326e-001, 9.28312317e-002, 1.97895851e+001, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 1.61336258e-001, 1.95583388e-001, 1.39246836e-001, 2.96843758e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 1.68058306e-001, 1.88616440e-001, 1.52663648e-001, 3.06122684e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 1.75533056e-001, 1.81505382e-001, 1.59518391e-001, 2.96964970e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 1.83310479e-001, 1.74394324e-001, 1.66588262e-001, 2.87807255e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 1.87746137e-001, 1.71136573e-001, 1.70399889e-001, 2.77107620e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 1.90704435e-001, 1.69873491e-001, 1.72727123e-001, 2.65609798e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 1.94064289e-001, 1.68610424e-001, 1.75367773e-001, 2.54112034e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 1.96302563e-001, 1.67689264e-001, 1.76846385e-001, 2.46739445e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 1.97385132e-001, 1.67126298e-001, 1.77136883e-001, 2.43688202e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 1.98896781e-001, 1.66563332e-001, 1.77786559e-001, 2.40636883e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 1.99926406e-001, 1.66126296e-001, 1.77986205e-001, 2.38269520e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 1.99425444e-001, 1.65959597e-001, 1.76810622e-001, 2.37368774e+001, 2.04020105e-002
