
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000, 1.86236784e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.70804020e-002, 1.68081030e-001, 1.71452351e-002, 1.90692596e+001, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 3.41608003e-002, 1.49925321e-001, 3.42904665e-002, 3.81385193e+001, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 5.12412004e-002, 1.31769568e-001, 5.14357015e-002, 5.72077751e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 5.77375330e-002, 1.14144653e-001, 5.80363050e-002, 5.96415329e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 6.21168278e-002, 9.66288447e-002, 6.25277907e-002, 5.86548996e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 6.65487349e-002, 7.91130587e-002, 6.70714974e-002, 5.76682701e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 6.96239471e-002, 7.23653287e-002, 7.03298301e-002, 5.14101181e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 7.20643401e-002, 7.11916611e-002, 7.30188861e-002, 4.24231796e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 7.45959952e-002, 7.00179935e-002, 7.58295432e-002, 3.34362488e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 7.71303102e-002, 6.82739392e-002, 7.85986930e-002, 2.88194256e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 7.97134265e-002, 6.59323260e-002, 8.13381448e-002, 2.87808056e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 8.24356899e-002, 6.35907054e-002, 8.42028260e-002, 2.87421818e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 8.49792659e-002, 6.17032200e-002, 8.69038180e-002, 2.83992920e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 8.69979635e-002, 6.07904084e-002, 8.91383961e-002, 2.74032021e+001, 2.04020105e-002
