
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.17506035e-001
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 2.35012040e-001
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 3.52518052e-001
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 3.70214880e-001
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 3.67540240e-001
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 3.65032971e-001
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 3.60336542e-001
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 3.54628772e-001
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 3.49148512e-001
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 3.42447609e-001
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 3.34475398e-001
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 3.26781839e-001
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 3.18130642e-001
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 3.07102114e-001
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.96429336e-001
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.85774499e-001
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.73317486e-001
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.61249512e-001
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.49626964e-001
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.38282546e-001
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 2.27270931e-001
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 2.16645628e-001
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 2.07469285e-001
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.98791638e-001
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 1.90378293e-001
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 1.83320954e-001
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 1.77048847e-001
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 1.70941010e-001
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 1.65699691e-001
1.09999999e-001, 4.37185876e-002, 0.00000000e+000, 1.61369741e-001
1.09999999e-001, 4.51758727e-002, 0.00000000e+000, 1.57146066e-001
1.09999999e-001, 4.66331579e-002, 0.00000000e+000, 1.53351918e-001
1.09999999e-001, 4.80904430e-002, 0.00000000e+000, 1.50399759e-001
1.09999999e-001, 4.95477282e-002, 0.00000000e+000, 1.47523135e-001
1.09999999e-001, 5.10050133e-002, 0.00000000e+000, 1.44818902e-001
1.09999999e-001, 5.24622984e-002, 0.00000000e+000, 1.42835930e-001
1.09999999e-001, 5.39195836e-002, 0.00000000e+000, 1.40912279e-001
1.09999999e-001, 5.53768687e-002, 0.00000000e+000, 1.39050454e-001
1.09999999e-001, 5.68341538e-002, 0.00000000e+000, 1.37749255e-001
1.09999999e-001, 5.82914390e-002, 0.00000000e+000, 1.36521235e-001
1.09999999e-001, 5.97487241e-002, 0.00000000e+000, 1.35343164e-001
1.09999999e-001, 6.12060092e-002, 0.00000000e+000, 1.34511858e-001
1.09999999e-001, 6.26632944e-002, 0.00000000e+000, 1.33805156e-001
1.09999999e-001, 6.41205832e-002, 0.00000000e+000, 1.33140489e-001
1.09999999e-001, 6.55778721e-002, 0.00000000e+000, 1.32695869e-001
1.09999999e-001, 6.70351610e-002, 0.00000000e+000, 1.32402211e-001
1.09999999e-001, 6.84924498e-002, 0.00000000e+000, 1.32146716e-001
1.09999999e-001, 6.99497387e-002, 0.00000000e+000, 1.32018074e-001
1.09999999e-001, 7.14070275e-002, 0.00000000e+000, 1.32037491e-001
1.09999999e-001, 7.28643164e-002, 0.00000000e+000, 1.32092804e-001
1.09999999e-001, 7.43216053e-002, 0.00000000e+000, 1.32237285e-001
1.09999999e-001, 7.57788941e-002, 0.00000000e+000, 1.32560506e-001
1.09999999e-001, 7.72361830e-002, 0.00000000e+000, 1.32918730e-001
1.09999999e-001, 7.86934718e-002, 0.00000000e+000, 1.33319229e-001
1.09999999e-001, 8.01507607e-002, 0.00000000e+000, 1.33820266e-001
1.09999999e-001, 8.16080496e-002, 0.00000000e+000, 1.34353831e-001
1.09999999e-001, 8.30653384e-002, 0.00000000e+000, 1.34919569e-001
1.09999999e-001, 8.45226273e-002, 0.00000000e+000, 1.35447696e-001
1.09999999e-001, 8.59799162e-002, 0.00000000e+000, 1.36002734e-001
1.09999999e-001, 8.74372050e-002, 0.00000000e+000, 1.36573300e-001
1.09999999e-001, 8.88944939e-002, 0.00000000e+000, 1.37161940e-001
1.09999999e-001, 9.03517827e-002, 0.00000000e+000, 1.37782589e-001
1.09999999e-001, 9.18090716e-002, 0.00000000e+000, 1.38419151e-001
1.09999999e-001, 9.32663605e-002, 0.00000000e+000, 1.39088154e-001
1.09999999e-001, 9.47236493e-002, 0.00000000e+000, 1.39747858e-001
1.09999999e-001, 9.61809382e-002, 0.00000000e+000, 1.40418783e-001
1.09999999e-001, 9.76382270e-002, 0.00000000e+000, 1.41099647e-001
1.09999999e-001, 9.90955159e-002, 0.00000000e+000, 1.41751856e-001
1.09999999e-001, 1.00552805e-001, 0.00000000e+000, 1.42432064e-001
1.09999999e-001, 1.02010094e-001, 0.00000000e+000, 1.43003702e-001
1.09999999e-001, 1.03467382e-001, 0.00000000e+000, 1.43573821e-001
1.09999999e-001, 1.04924671e-001, 0.00000000e+000, 1.44072890e-001
1.09999999e-001, 1.06381960e-001, 0.00000000e+000, 1.44467846e-001
1.09999999e-001, 1.07839249e-001, 0.00000000e+000, 1.44780576e-001
1.09999999e-001, 1.09296538e-001, 0.00000000e+000, 1.45068139e-001
1.09999999e-001, 1.10753827e-001, 0.00000000e+000, 1.45250335e-001
1.09999999e-001, 1.12211116e-001, 0.00000000e+000, 1.45418420e-001
1.09999999e-001, 1.13668405e-001, 0.00000000e+000, 1.45484149e-001
1.09999999e-001, 1.15125693e-001, 0.00000000e+000, 1.45494699e-001
1.09999999e-001, 1.16582982e-001, 0.00000000e+000, 1.45428047e-001
1.09999999e-001, 1.18040271e-001, 0.00000000e+000, 1.45249918e-001
1.09999999e-001, 1.19497560e-001, 0.00000000e+000, 1.45035058e-001
1.09999999e-001, 1.20954849e-001, 0.00000000e+000, 1.44657165e-001
1.09999999e-001, 1.22412138e-001, 0.00000000e+000, 1.44256234e-001
1.09999999e-001, 1.23869427e-001, 0.00000000e+000, 1.43698201e-001
1.09999999e-001, 1.25326708e-001, 0.00000000e+000, 1.43091843e-001
1.09999999e-001, 1.26783997e-001, 0.00000000e+000, 1.42380893e-001
1.09999999e-001, 1.28241286e-001, 0.00000000e+000, 1.41581133e-001
1.09999999e-001, 1.29698575e-001, 0.00000000e+000, 1.40723601e-001
1.09999999e-001, 1.31155863e-001, 0.00000000e+000, 1.39817834e-001
1.09999999e-001, 1.32613152e-001, 0.00000000e+000, 1.38912544e-001
1.09999999e-001, 1.34070441e-001, 0.00000000e+000, 1.37892753e-001
1.09999999e-001, 1.35527730e-001, 0.00000000e+000, 1.36853874e-001
1.09999999e-001, 1.36985019e-001, 0.00000000e+000, 1.35709181e-001
1.09999999e-001, 1.38442308e-001, 0.00000000e+000, 1.34583756e-001
1.09999999e-001, 1.39899597e-001, 0.00000000e+000, 1.33470237e-001
1.09999999e-001, 1.41356885e-001, 0.00000000e+000, 1.32341444e-001
1.09999999e-001, 1.42814174e-001, 0.00000000e+000, 1.31226286e-001
1.09999999e-001, 1.44271463e-001, 0.00000000e+000, 1.30134106e-001
1.09999999e-001, 1.45728752e-001, 0.00000000e+000, 1.29097223e-001
1.09999999e-001, 1.47186041e-001, 0.00000000e+000, 1.28072634e-001
1.09999999e-001, 1.48643330e-001, 0.00000000e+000, 1.27083942e-001
1.09999999e-001, 1.50100619e-001, 0.00000000e+000, 1.26250789e-001
1.09999999e-001, 1.51557907e-001, 0.00000000e+000, 1.25429720e-001
1.09999999e-001, 1.53015196e-001, 0.00000000e+000, 1.24644771e-001
1.09999999e-001, 1.54472485e-001, 0.00000000e+000, 1.24077223e-001
1.09999999e-001, 1.55929774e-001, 0.00000000e+000, 1.23521663e-001
1.09999999e-001, 1.57387063e-001, 0.00000000e+000, 1.22996405e-001
1.09999999e-001, 1.58844352e-001, 0.00000000e+000, 1.22724682e-001
1.09999999e-001, 1.60301641e-001, 0.00000000e+000, 1.22464195e-001
1.09999999e-001, 1.61758929e-001, 0.00000000e+000, 1.22223720e-001
1.09999999e-001, 1.63216218e-001, 0.00000000e+000, 1.22242332e-001
1.09999999e-001, 1.64673507e-001, 0.00000000e+000, 1.22269757e-001
1.09999999e-001, 1.66130796e-001, 0.00000000e+000, 1.22306079e-001
1.09999999e-001, 1.67588085e-001, 0.00000000e+000, 1.22563735e-001
1.09999999e-001, 1.69045374e-001, 0.00000000e+000, 1.22827478e-001
1.09999999e-001, 1.70502663e-001, 0.00000000e+000, 1.23096861e-001
1.09999999e-001, 1.71959952e-001, 0.00000000e+000, 1.23504147e-001
1.09999999e-001, 1.73417240e-001, 0.00000000e+000, 1.23920143e-001
1.09999999e-001, 1.74874529e-001, 0.00000000e+000, 1.24339588e-001
1.09999999e-001, 1.76331818e-001, 0.00000000e+000, 1.24808609e-001
1.09999999e-001, 1.77789107e-001, 0.00000000e+000, 1.25284776e-001
1.09999999e-001, 1.79246396e-001, 0.00000000e+000, 1.25764459e-001
1.09999999e-001, 1.80703685e-001, 0.00000000e+000, 1.26209378e-001
1.09999999e-001, 1.82160974e-001, 0.00000000e+000, 1.26655027e-001
1.09999999e-001, 1.83618262e-001, 0.00000000e+000, 1.27106175e-001
1.09999999e-001, 1.85075551e-001, 0.00000000e+000, 1.27469525e-001
1.09999999e-001, 1.86532840e-001, 0.00000000e+000, 1.27824321e-001
1.09999999e-001, 1.87990129e-001, 0.00000000e+000, 1.28186375e-001
1.09999999e-001, 1.89447418e-001, 0.00000000e+000, 1.28465325e-001
1.09999999e-001, 1.90904707e-001, 0.00000000e+000, 1.28731400e-001
1.09999999e-001, 1.92361996e-001, 0.00000000e+000, 1.29004344e-001
1.09999999e-001, 1.93819284e-001, 0.00000000e+000, 1.29249796e-001
1.09999999e-001, 1.95276573e-001, 0.00000000e+000, 1.29490688e-001
1.09999999e-001, 1.96733862e-001, 0.00000000e+000, 1.29736230e-001
1.09999999e-001, 1.98191151e-001, 0.00000000e+000, 1.30051970e-001
1.09999999e-001, 1.99648440e-001, 0.00000000e+000, 1.30392462e-001
1.09999999e-001, 2.01105729e-001, 0.00000000e+000, 1.30735368e-001
1.09999999e-001, 2.02563018e-001, 0.00000000e+000, 1.31217778e-001
1.09999999e-001, 2.04020306e-001, 0.00000000e+000, 1.31757006e-001
1.09999999e-001, 2.05477595e-001, 0.00000000e+000, 1.32297665e-001
1.09999999e-001, 2.06934884e-001, 0.00000000e+000, 1.32858917e-001
1.09999999e-001, 2.08392173e-001, 0.00000000e+000, 1.33433312e-001
1.09999999e-001, 2.09849462e-001, 0.00000000e+000, 1.34012148e-001
1.09999999e-001, 2.11306751e-001, 0.00000000e+000, 1.34727806e-001
1.09999999e-001, 2.12764040e-001, 0.00000000e+000, 1.35532796e-001
1.09999999e-001, 2.14221328e-001, 0.00000000e+000, 1.36355415e-001
1.09999999e-001, 2.15678617e-001, 0.00000000e+000, 1.37473240e-001
1.09999999e-001, 2.17135906e-001, 0.00000000e+000, 1.38802320e-001
1.09999999e-001, 2.18593195e-001, 0.00000000e+000, 1.40164495e-001
1.09999999e-001, 2.20050484e-001, 0.00000000e+000, 1.41692072e-001
1.09999999e-001, 2.21507773e-001, 0.00000000e+000, 1.43355891e-001
1.09999999e-001, 2.22965062e-001, 0.00000000e+000, 1.45055696e-001
1.09999999e-001, 2.24422351e-001, 0.00000000e+000, 1.46788031e-001
1.09999999e-001, 2.25879639e-001, 0.00000000e+000, 1.48550153e-001
1.09999999e-001, 2.27336928e-001, 0.00000000e+000, 1.50342166e-001
1.09999999e-001, 2.28794217e-001, 0.00000000e+000, 1.52049407e-001
1.09999999e-001, 2.30251506e-001, 0.00000000e+000, 1.53666049e-001
1.09999999e-001, 2.31708795e-001, 0.00000000e+000, 1.55304119e-001
1.09999999e-001, 2.33166084e-001, 0.00000000e+000, 1.56806007e-001
1.09999999e-001, 2.34623373e-001, 0.00000000e+000, 1.58142984e-001
1.09999999e-001, 2.36080661e-001, 0.00000000e+000, 1.59494996e-001
1.09999999e-001, 2.37537950e-001, 0.00000000e+000, 1.60699531e-001
1.09999999e-001, 2.38995239e-001, 0.00000000e+000, 1.61700532e-001
1.09999999e-001, 2.40452528e-001, 0.00000000e+000, 1.62714109e-001
1.09999999e-001, 2.41909817e-001, 0.00000000e+000, 1.63583994e-001
1.09999999e-001, 2.43367106e-001, 0.00000000e+000, 1.64225891e-001
1.09999999e-001, 2.44824395e-001, 0.00000000e+000, 1.64882079e-001
1.09999999e-001, 2.46281683e-001, 0.00000000e+000, 1.65405303e-001
1.09999999e-001, 2.47738972e-001, 0.00000000e+000, 1.65681481e-001
1.09999999e-001, 2.49196261e-001, 0.00000000e+000, 1.65978074e-001
1.09999999e-001, 2.50653535e-001, 0.00000000e+000, 1.66147858e-001
1.09999999e-001, 2.52110809e-001, 0.00000000e+000, 1.66034013e-001
1.09999999e-001, 2.53568083e-001, 0.00000000e+000, 1.65951461e-001
1.09999999e-001, 2.55025357e-001, 0.00000000e+000, 1.65750057e-001
