
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.28674582e-001
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 2.57349163e-001
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 3.86023730e-001
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 4.01577860e-001
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 3.94254804e-001
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 3.87370735e-001
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 3.79822254e-001
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 3.71919662e-001
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 3.64206582e-001
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 3.54416013e-001
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 3.42449129e-001
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 3.30715090e-001
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 3.17746997e-001
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 3.01871747e-001
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.86348373e-001
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.70948410e-001
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.54270494e-001
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.37989873e-001
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.22193852e-001
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.08259821e-001
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 1.94652677e-001
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 1.81403115e-001
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 1.70896694e-001
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.61133736e-001
