
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.47814289e-001
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 2.95628548e-001
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 4.43442851e-001
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 4.61046457e-001
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 4.52187866e-001
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 4.43687320e-001
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 4.29523498e-001
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 4.12601173e-001
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 3.96085590e-001
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 3.78002763e-001
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 3.58212531e-001
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 3.38871300e-001
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 3.19763094e-001
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 3.00454021e-001
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.81568825e-001
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.63416767e-001
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.46944726e-001
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.30811134e-001
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.15092093e-001
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.02339143e-001
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 1.89867616e-001
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 1.77660584e-001
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 1.68017477e-001
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.59058109e-001
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 1.50242180e-001
