
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.15300648e-001
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 2.30601266e-001
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 3.45901877e-001
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 3.65599334e-001
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 3.65747094e-001
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 3.66011798e-001
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 3.61823678e-001
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 3.55475277e-001
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 3.49361092e-001
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 3.41535240e-001
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 3.31913024e-001
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 3.22566360e-001
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 3.12407911e-001
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 3.00169498e-001
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.88267881e-001
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.76518464e-001
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.63793826e-001
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.51394153e-001
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.39369839e-001
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.28029862e-001
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 2.16957897e-001
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 2.06186667e-001
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 1.96698308e-001
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.87637582e-001
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 1.78788304e-001
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 1.71032280e-001
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 1.63925573e-001
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 1.56976715e-001
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 1.50746271e-001
1.09999999e-001, 4.37185876e-002, 0.00000000e+000, 1.45273715e-001
1.09999999e-001, 4.51758727e-002, 0.00000000e+000, 1.39931068e-001
1.09999999e-001, 4.66331579e-002, 0.00000000e+000, 1.35002360e-001
1.09999999e-001, 4.80904430e-002, 0.00000000e+000, 1.30838543e-001
